transcript_id,mi_quality,zone,cohesion,flexibility,communication,comm_quality,robot_role,intervention_mode,empathy_intensity,communication_boost,intervention_urgency,scheduler_trigger,scheduler_priority
31,high,chaotic-enmeshed,92.13,74.76,81.71,open,MODERATE,boundary_set,0.423,0.2,0.9773422123289263,True,3
32,low,chaotic-disengaged,34.87,88.8,80.0,open,STABILIZE,structure_build,0.705,0.5,0.8329122162629145,True,4
33,high,rigid-enmeshed,68.6,63.1,77.79,open,DIVERSIFY,flexibility_boost,0.524,0.3,0.4550032966913536,False,2
34,high,chaotic-enmeshed,87.61,75.14,80.8,open,MODERATE,boundary_set,0.466,0.2,0.9047721702174532,True,3
35,high,chaotic-enmeshed,86.9,71.48,86.51,open,MODERATE,boundary_set,0.463,0.2,0.8539321752926284,False,3
36,high,rigid-enmeshed,77.4,58.67,65.37,open,DIVERSIFY,flexibility_boost,0.524,0.3,0.5747795751416365,False,2
37,high,chaotic-enmeshed,88.25,67.29,79.05,open,MODERATE,boundary_set,0.415,0.2,0.839525246791304,True,3
38,high,chaotic-enmeshed,77.23,71.19,80.99,open,MODERATE,boundary_set,0.453,0.2,0.6900692718850767,False,3
39,high,chaotic-enmeshed,87.67,71.62,81.29,open,MODERATE,boundary_set,0.428,0.2,0.8686664031721268,False,3
40,high,rigid-enmeshed,92.67,61.04,80.0,open,DIVERSIFY,flexibility_boost,0.532,0.3,0.8815011060685063,False,2
41,high,chaotic-enmeshed,86.15,70.94,76.7,open,MODERATE,boundary_set,0.439,0.2,0.8355372164063071,True,3
42,high,chaotic-enmeshed,78.49,75.0,70.36,open,MODERATE,boundary_set,0.464,0.2,0.7580712631408738,False,3
43,high,chaotic-enmeshed,84.85,76.78,80.0,open,MODERATE,boundary_set,0.439,0.2,0.8790201135355208,False,3
44,low,rigid-enmeshed,88.24,62.95,72.49,open,DIVERSIFY,flexibility_boost,0.511,0.3,0.8074651942963237,False,2
45,high,chaotic-enmeshed,73.68,67.49,81.53,open,MODERATE,boundary_set,0.425,0.2,0.5887758486894652,True,3
46,high,chaotic-enmeshed,81.03,71.65,80.0,open,MODERATE,boundary_set,0.418,0.2,0.7567254191580988,False,3
47,high,chaotic-enmeshed,66.29,69.48,59.5,moderate,MODERATE,boundary_set,0.442,0.217,0.5078718342259197,False,3
48,high,rigid-enmeshed,87.7,54.99,63.93,moderate,DIVERSIFY,flexibility_boost,0.529,0.305,0.7605761237377887,False,2
49,high,chaotic-enmeshed,86.23,70.08,80.0,open,MODERATE,boundary_set,0.412,0.2,0.8284489845488376,True,3
50,high,rigid-enmeshed,81.79,62.97,84.46,open,DIVERSIFY,flexibility_boost,0.536,0.3,0.6866804205742291,False,2
51,high,chaotic-enmeshed,72.07,78.75,96.67,open,MODERATE,boundary_set,0.423,0.2,0.7248854806105581,True,3
52,high,chaotic-enmeshed,86.62,73.17,78.67,open,MODERATE,boundary_set,0.454,0.2,0.8666887099760792,False,3
53,low,rigid-enmeshed,82.27,64.69,66.53,open,DIVERSIFY,flexibility_boost,0.517,0.3,0.7091259408595909,False,2
54,high,rigid-enmeshed,92.11,60.91,72.49,open,DIVERSIFY,flexibility_boost,0.53,0.3,0.8700069425010354,False,2
55,high,rigid-enmeshed,86.46,59.56,76.25,open,DIVERSIFY,flexibility_boost,0.532,0.3,0.7538501707899254,True,2
56,high,rigid-enmeshed,86.28,58.03,77.32,open,DIVERSIFY,flexibility_boost,0.531,0.3,0.7431606286665083,False,2
57,low,chaotic-disengaged,53.84,71.04,78.0,open,STABILIZE,structure_build,0.707,0.5,0.427750955580464,True,4
58,high,chaotic-enmeshed,89.79,66.02,80.44,open,MODERATE,boundary_set,0.434,0.2,0.8578774970821884,True,3
59,low,chaotic-disengaged,28.56,73.85,45.0,moderate,STABILIZE,structure_build,0.7,0.654,0.6414034923509537,True,4
60,high,rigid-enmeshed,82.56,51.41,62.43,moderate,DIVERSIFY,flexibility_boost,0.545,0.312,0.6518103098294781,False,2
61,high,chaotic-enmeshed,91.12,69.63,80.0,open,MODERATE,boundary_set,0.429,0.2,0.9113048447144348,True,3
62,high,rigid-enmeshed,81.19,61.54,71.76,open,DIVERSIFY,flexibility_boost,0.524,0.3,0.6651278674059597,False,2
63,high,chaotic-enmeshed,87.76,68.34,75.94,open,MODERATE,boundary_set,0.44,0.2,0.8395649349514308,True,3
64,high,chaotic-enmeshed,82.88,67.94,80.71,open,MODERATE,boundary_set,0.423,0.2,0.7491162793585517,False,3
65,high,rigid-enmeshed,78.95,54.76,68.59,open,DIVERSIFY,flexibility_boost,0.533,0.3,0.5867742666477459,False,2
66,high,rigid-enmeshed,83.04,63.74,83.05,open,DIVERSIFY,flexibility_boost,0.556,0.3,0.7156617077921665,False,2
67,high,chaotic-enmeshed,88.47,65.89,69.35,open,MODERATE,boundary_set,0.417,0.2,0.8324501186257348,True,3
68,high,chaotic-enmeshed,88.66,68.66,81.85,open,MODERATE,boundary_set,0.43,0.2,0.8585548788516665,False,3
69,low,chaotic-disengaged,44.55,71.01,57.0,moderate,STABILIZE,structure_build,0.7,0.562,0.43410717570664514,True,4
70,high,chaotic-enmeshed,67.4,71.48,62.0,moderate,MODERATE,boundary_set,0.414,0.209,0.5528654085760839,True,3
71,high,rigid-enmeshed,82.44,64.26,76.22,open,DIVERSIFY,flexibility_boost,0.525,0.3,0.7087174895541947,False,2
72,low,chaotic-enmeshed,81.02,76.1,91.65,open,MODERATE,boundary_set,0.412,0.2,0.8107898371341367,True,3
73,high,rigid-enmeshed,75.48,54.63,64.62,moderate,DIVERSIFY,flexibility_boost,0.6,0.302,0.51794490054445,False,2
74,low,balanced,46.7,64.08,75.33,open,MAINTAIN,minimal,0.3,0.1,0.2892309803599884,False,1
76,high,chaotic-enmeshed,71.57,66.49,64.39,moderate,MODERATE,boundary_set,0.434,0.202,0.5430230197698803,True,3
77,high,chaotic-disengaged,55.01,67.66,79.09,open,STABILIZE,structure_build,0.703,0.5,0.36713795772161717,True,4
78,high,chaotic-enmeshed,83.81,71.12,79.28,open,MODERATE,boundary_set,0.418,0.2,0.7972880282557867,True,3
79,high,chaotic-enmeshed,89.17,67.31,53.67,moderate,MODERATE,boundary_set,0.481,0.235,0.8564870109931616,False,3
80,high,chaotic-enmeshed,89.6,66.56,79.57,open,MODERATE,boundary_set,0.428,0.2,0.8584622531014393,False,3
81,high,chaotic-enmeshed,86.71,73.08,81.35,open,MODERATE,boundary_set,0.418,0.2,0.8672509440755887,False,3
82,high,chaotic-enmeshed,70.62,70.19,78.67,open,MODERATE,boundary_set,0.443,0.2,0.5771725911718262,False,3
83,high,chaotic-enmeshed,90.8,65.53,80.0,open,MODERATE,boundary_set,0.415,0.2,0.8731141735191338,True,3
84,high,rigid-enmeshed,81.48,64.07,77.08,open,DIVERSIFY,flexibility_boost,0.554,0.3,0.6896246225302575,False,2
85,high,chaotic-enmeshed,80.28,67.47,79.7,open,MODERATE,boundary_set,0.432,0.2,0.6991650162872854,True,3
86,high,rigid-enmeshed,67.0,32.45,25.05,restricted,DIVERSIFY,flexibility_boost,0.605,0.484,0.4886726920956398,False,2
87,high,rigid-enmeshed,83.05,47.81,57.13,moderate,DIVERSIFY,flexibility_boost,0.534,0.336,0.6624495754395197,False,2
88,high,chaotic-enmeshed,83.62,78.28,85.23,open,MODERATE,boundary_set,0.454,0.2,0.8786496002389121,True,3
89,high,chaotic-enmeshed,79.2,68.32,72.56,open,MODERATE,boundary_set,0.418,0.2,0.6894236433427562,False,3
90,low,chaotic-disengaged,54.18,85.64,80.0,open,STABILIZE,structure_build,0.709,0.5,0.7176857250914219,True,4
91,high,chaotic-enmeshed,89.53,71.39,89.63,open,MODERATE,boundary_set,0.441,0.2,0.8989222435783866,True,3
92,low,balanced,63.52,57.56,70.0,open,MAINTAIN,minimal,0.309,0.1,0.30980251774315853,False,1
93,high,chaotic-enmeshed,90.27,72.65,89.13,open,MODERATE,boundary_set,0.449,0.2,0.9240552797316837,True,3
94,high,chaotic-enmeshed,83.66,70.5,79.19,open,MODERATE,boundary_set,0.444,0.2,0.7882247395254731,False,3
95,high,chaotic-enmeshed,76.15,73.53,80.0,open,MODERATE,boundary_set,0.453,0.2,0.7035576451151677,False,3
96,high,chaotic-enmeshed,77.15,66.41,81.45,open,MODERATE,boundary_set,0.452,0.2,0.634479503215037,False,3
97,high,rigid-enmeshed,77.12,46.04,57.84,moderate,DIVERSIFY,flexibility_boost,0.523,0.333,0.548151803791614,False,2
98,high,rigid-enmeshed,80.01,64.25,76.76,open,DIVERSIFY,flexibility_boost,0.533,0.3,0.664428355806704,False,2
99,high,chaotic-enmeshed,80.96,74.78,82.86,open,MODERATE,boundary_set,0.436,0.2,0.7931128545169344,True,3
100,high,rigid-enmeshed,73.76,54.47,60.95,moderate,DIVERSIFY,flexibility_boost,0.537,0.319,0.4835363481683669,False,2
101,high,chaotic-enmeshed,84.99,66.83,75.7,open,MODERATE,boundary_set,0.435,0.2,0.7765433664644878,True,3
102,low,rigid-enmeshed,87.25,58.47,65.5,open,DIVERSIFY,flexibility_boost,0.518,0.3,0.7640165966783705,False,2
103,high,rigid-enmeshed,73.65,64.12,59.11,moderate,DIVERSIFY,flexibility_boost,0.538,0.327,0.5508890632423193,False,2
104,high,chaotic-enmeshed,88.52,68.35,77.56,open,MODERATE,boundary_set,0.421,0.2,0.8533493774533382,True,3
105,high,rigid-enmeshed,92.28,64.56,79.67,open,DIVERSIFY,flexibility_boost,0.543,0.3,0.8943359547731491,False,2
106,low,chaotic-disengaged,36.88,72.05,74.17,open,STABILIZE,structure_build,0.703,0.5,0.5131615340221828,True,4
107,high,chaotic-disengaged,45.39,67.94,84.31,open,STABILIZE,structure_build,0.7,0.5,0.3704568530881835,False,4
108,high,chaotic-enmeshed,69.07,71.17,65.99,open,MODERATE,boundary_set,0.426,0.2,0.5698539462002522,True,3
109,high,rigid-enmeshed,80.81,62.13,79.57,open,DIVERSIFY,flexibility_boost,0.55,0.3,0.6622365136414633,False,2
110,high,chaotic-enmeshed,65.72,75.05,62.17,moderate,MODERATE,boundary_set,0.424,0.209,0.5914798052342953,True,3
111,high,chaotic-enmeshed,85.04,69.4,79.33,open,MODERATE,boundary_set,0.429,0.2,0.801039724358287,False,3
112,high,chaotic-enmeshed,83.29,71.95,81.45,open,MODERATE,boundary_set,0.44,0.2,0.7975027523463478,False,3
113,high,chaotic-enmeshed,82.61,70.31,85.33,open,MODERATE,boundary_set,0.454,0.2,0.7683510135348297,False,3
114,high,chaotic-enmeshed,90.48,76.32,70.08,open,MODERATE,boundary_set,0.421,0.2,0.9655181614035024,True,3
115,low,balanced,43.71,57.26,68.16,open,MAINTAIN,minimal,0.3,0.1,0.19211631893204698,False,1
116,high,chaotic-enmeshed,85.07,72.13,80.56,open,MODERATE,boundary_set,0.436,0.2,0.8293712799464421,True,3
117,high,chaotic-enmeshed,85.3,65.53,73.09,open,MODERATE,boundary_set,0.434,0.2,0.7713030273504701,False,3
118,low,rigid-disengaged,31.74,60.28,59.88,moderate,RECONNECT,cohesion_build,0.9,0.755,0.4190971247813567,True,5
119,high,chaotic-enmeshed,91.56,75.2,80.0,open,MODERATE,boundary_set,0.454,0.2,0.9720645246072919,True,3
120,high,chaotic-enmeshed,84.68,74.83,70.81,open,MODERATE,boundary_set,0.426,0.2,0.8530489552188668,False,3
121,high,rigid-enmeshed,90.44,50.27,65.09,open,DIVERSIFY,flexibility_boost,0.549,0.3,0.8088180265053444,False,2
122,high,rigid-enmeshed,72.38,62.9,74.23,open,DIVERSIFY,flexibility_boost,0.556,0.3,0.5166330999848925,False,2
123,low,chaotic-disengaged,27.22,81.46,93.39,open,STABILIZE,structure_build,0.702,0.5,0.7768294536125673,True,4
124,high,chaotic-enmeshed,92.2,65.81,81.71,open,MODERATE,boundary_set,0.466,0.2,0.9012871018715403,True,3
125,high,chaotic-disengaged,63.72,72.21,40.0,moderate,STABILIZE,structure_build,0.847,0.692,0.5221197180723975,True,4
126,low,chaotic-enmeshed,73.2,69.1,77.42,open,MODERATE,boundary_set,0.426,0.2,0.6010158067804873,True,3
127,high,rigid-enmeshed,74.24,54.77,73.89,open,DIVERSIFY,flexibility_boost,0.554,0.3,0.4940973588271849,False,2
128,high,chaotic-enmeshed,75.04,71.32,73.25,open,MODERATE,boundary_set,0.424,0.2,0.6577367254456756,True,3
129,high,balanced,64.59,64.37,71.95,open,MAINTAIN,minimal,0.324,0.1,0.4095680651613357,False,1
130,low,chaotic-enmeshed,81.69,68.12,76.79,open,MODERATE,boundary_set,0.417,0.2,0.7300932817113167,True,3
131,low,chaotic-enmeshed,89.4,67.86,81.03,open,MODERATE,boundary_set,0.43,0.2,0.8651796576434285,False,3
132,high,chaotic-enmeshed,91.71,73.43,74.83,open,MODERATE,boundary_set,0.452,0.2,0.9568048912918453,False,3
133,high,chaotic-enmeshed,85.63,71.72,80.95,open,MODERATE,boundary_set,0.437,0.2,0.8345670254688953,False,3
